"","Subject","Confidence","Color_label_matched","Language","Age","Gender","Language_spoken","rt","Condition","Condition_label","Chain","Generation","Color_label_source","Lightness_source","Lighness_matched","Saturation_source","Saturation_matched","Hue_source","Hue_matched","Focal","Seed","Secondary_focal","Dif","Dif_2","Rel_dif","Rel_dif_2","Accuracy_hue","Accuracy_sat"
"1","0sgv",5,"seed dark rose","Danish","23","female","Dansk",86292,"2","Naming transmission","4",8,"seed mørk rosa",50,50,51,55,314,313,372.2,327.55,278,59.2,35,132.586786114222,70.635721493441,1,4
"2","0sgv",6,"seed grass green","Danish","23","female","Dansk",23625,"2","Naming transmission","4",8,"seed græsgrøn",50,50,68,68,103,100,136.5,117.98,62.4,36.5,37.6,197.084233261339,67.6502338970853,3,0
"3","0sgv",5,"seed mustard","Danish","23","female","Dansk",21667,"2","Naming transmission","4",8,"seed sennepsgul",50,50,39,38,69,70,62.4,49.85,26,-7.6,44,-60.5577689243028,184.486373165618,1,1
"4","0sgv",6,"seed ocean blue","Danish","23","female","Dansk",9257,"2","Naming transmission","4",8,"seed havblå",50,50,57,62,187,187,193.6,179.34,136.5,6.59999999999999,50.5,46.2833099579243,117.880485527544,0,5
"5","0tnl",4,"seed dark rose","Danish","24","female","Dansk",7376,"2","Naming transmission","1",8,"seed mørk rosa",50,50,61,54,325,318,372.2,327.55,278,54.2,40,121.388577827548,80.7265388496468,7,7
"6","0tnl",3,"seed ocean blue","Danish","24","female","Dansk",6915,"2","Naming transmission","1",8,"seed havblå",50,50,65,83,174,178,193.6,179.34,136.5,15.6,41.5,109.396914446003,96.8720821661998,4,18
"7","0tnl",4,"seed mustard","Danish","24","female","Dansk",8467,"2","Naming transmission","1",8,"seed sennepsgul",50,50,38,28,49,56,62.4,49.85,26,6.4,30,50.996015936255,125.786163522013,7,10
"8","0tnl",6,"seed grass green","Danish","24","female","Dansk",3004,"2","Naming transmission","1",8,"seed græsgrøn",50,50,53,56,129,142,136.5,117.98,62.4,-5.5,79.6,-29.6976241900648,143.216984526808,13,3
"9","13ta",4,"seed grass green","English","44","female","German",52531,"2","Naming transmission","0",5,"seed grass green",50,50,53,66,127,138,136.5,117.98,62.4,-1.5,75.6,-8.09935205183585,136.020151133501,11,13
"10","13ta",5,"seed ocean blue","English","44","female","German",31378,"2","Naming transmission","0",5,"seed ocean blue",50,50,77,73,187,186,193.6,179.34,136.5,7.59999999999999,49.5,53.2959326788219,115.546218487395,1,4
"11","13ta",4,"seed dark rose","English","44","female","German",47160,"2","Naming transmission","0",5,"seed dark rose",50,50,56,65,313,309,372.2,327.55,278,63.2,31,141.545352743561,62.5630676084763,4,9
"12","13ta",5,"seed mustard","English","44","female","German",30712,"2","Naming transmission","0",5,"seed mustard",50,50,61,55,46,46,62.4,49.85,26,16.4,20,130.677290836653,83.8574423480084,0,6
"13","1qhd",2,"seed mustard","Danish","50","male","dansk",18576,"2","Naming transmission","2",10,"seed sennepsgul",50,50,66,59,40,37,62.4,49.85,26,25.4,11,202.390438247012,46.1215932914046,3,7
"14","1qhd",2,"seed dark rose","Danish","50","male","dansk",20433,"2","Naming transmission","2",10,"seed mørk rosa",50,50,78,59,312,311,372.2,327.55,278,61.2,33,137.066069428891,66.5993945509586,1,19
"15","1qhd",1,"seed grass green","Danish","50","male","dansk",81038,"2","Naming transmission","2",10,"seed græsgrøn",50,50,70,63,94,129,136.5,117.98,62.4,7.5,66.6,40.4967602591793,119.827275998561,35,7
"16","1qhd",1,"seed ocean blue","Danish","50","male","dansk",17479,"2","Naming transmission","2",10,"seed havblå",50,50,67,82,183,183,193.6,179.34,136.5,10.6,46.5,74.3338008415147,108.543417366947,0,15
"17","1spu",6,"seed grass green","Danish","22","female","Dansk",12029,"1","Pure transmission","3",8,"seed græsgrøn",50,50,53,51,125,127,136.5,117.98,62.4,9.5,64.6,51.2958963282938,116.228859301907,2,2
"18","1spu",5,"seed mustard","Danish","22","female","Dansk",25929,"1","Pure transmission","3",8,"seed sennepsgul",50,50,56,55,53,51,62.4,49.85,26,11.4,25,90.8366533864542,104.82180293501,2,1
"19","1spu",6,"seed dark rose","Danish","22","female","Dansk",11768,"1","Pure transmission","3",8,"seed mørk rosa",50,50,44,42,319,318,372.2,327.55,278,54.2,40,121.388577827548,80.7265388496468,1,2
"20","1spu",6,"seed ocean blue","Danish","22","female","Dansk",15270,"1","Pure transmission","3",8,"seed havblå",50,50,24,27,182,181,193.6,179.34,136.5,12.6,44.5,88.35904628331,103.874883286648,1,3
"21","1ub2",4,"seed ocean blue","English","53","male","danish",21611,"1","Pure transmission","0",13,"seed ocean blue",50,50,78,66,201,202,193.6,179.34,136.5,-8.40000000000001,65.5,-58.9060308555401,152.894491129785,1,12
"22","1ub2",5,"seed dark rose","English","53","male","danish",13965,"1","Pure transmission","0",13,"seed dark rose",50,50,61,57,302,308,372.2,327.55,278,64.2,30,143.784994400896,60.5449041372351,6,4
"23","1ub2",4,"seed mustard","English","53","male","danish",21348,"1","Pure transmission","0",13,"seed mustard",50,50,66,76,23,25,62.4,49.85,26,37.4,-1,298.00796812749,-4.19287211740042,2,10
"24","1ub2",5,"seed grass green","English","53","male","danish",7036,"1","Pure transmission","0",13,"seed grass green",50,50,71,67,108,100,136.5,117.98,62.4,36.5,37.6,197.084233261339,67.6502338970853,8,4
"25","28dd",4,"seed grass green","English","24","female","geman",36850,"2","Naming transmission","0",0,"seed grass green",50,50,60,43,117.98,133,136.5,117.98,62.4,3.5,70.6,18.8984881209503,127.024109391868,15.02,17
"26","28dd",4,"seed dark rose","English","24","female","geman",6990,"2","Naming transmission","0",0,"seed dark rose",50,50,60,52,327.55,321,372.2,327.55,278,51.2,43,114.669652855543,86.7810292633703,6.55000000000001,8
"27","28dd",4,"seed ocean blue","English","24","female","geman",16217,"2","Naming transmission","0",0,"seed ocean blue",50,50,60,71,179.34,180,193.6,179.34,136.5,13.6,43.5,95.3716690042076,101.540616246499,0.659999999999997,11
"28","28dd",3,"seed mustard","English","24","female","geman",13305,"2","Naming transmission","0",0,"seed mustard",50,50,60,72,49.85,48,62.4,49.85,26,14.4,22,114.741035856574,92.2431865828092,1.85,12
"29","29mk",5,"seed dark rose","Danish","24","male","Dansk",18870,"2","Naming transmission","2",9,"seed mørk rosa",50,50,84,78,311,312,372.2,327.55,278,60.2,34,134.826427771557,68.6175580221998,1,6
"30","29mk",3,"seed grass green","Danish","24","male","Dansk",30742,"2","Naming transmission","2",9,"seed græsgrøn",50,50,86,70,123,94,136.5,117.98,62.4,42.5,31.6,229.481641468683,56.8549838071249,29,16
"31","29mk",4,"seed ocean blue","Danish","24","male","Dansk",12774,"2","Naming transmission","2",9,"seed havblå",50,50,67,67,182,183,193.6,179.34,136.5,10.6,46.5,74.3338008415147,108.543417366947,1,0
"32","29mk",2,"seed mustard","Danish","24","male","Dansk",16274,"2","Naming transmission","2",9,"seed sennepsgul",50,50,78,66,45,40,62.4,49.85,26,22.4,14,178.486055776892,58.7002096436059,5,12
"33","2aq2",5,"seed ocean blue","Danish","21","male","Dansk",30029,"2","Naming transmission","4",0,"seed havblå",50,50,60,73,179.34,182,193.6,179.34,136.5,11.6,45.5,81.3464235624124,106.209150326797,2.66,13
"34","2aq2",4,"seed grass green","Danish","21","male","Dansk",18222,"2","Naming transmission","4",0,"seed græsgrøn",50,50,60,66,117.98,120,136.5,117.98,62.4,16.5,57.6,89.0928725701944,103.63440086362,2.02,6
"35","2aq2",5,"seed mustard","Danish","21","male","Dansk",17581,"2","Naming transmission","4",0,"seed sennepsgul",50,50,60,50,49.85,53,62.4,49.85,26,9.4,27,74.9003984063745,113.207547169811,3.15,10
"36","2aq2",2,"seed dark rose","Danish","21","male","Dansk",63814,"2","Naming transmission","4",0,"seed mørk rosa",50,50,60,47,327.55,328,372.2,327.55,278,44.2,50,98.9921612541994,100.908173562058,0.449999999999989,13
"37","2e48",5,"seed mustard","Danish","24","female","Dansk",7398,"2","Naming transmission","0",12,"seed sennepsgul",50,50,67,66,55,53,62.4,49.85,26,9.4,27,74.9003984063745,113.207547169811,2,1
"38","2e48",2,"seed ocean blue","Danish","24","female","Dansk",21686,"2","Naming transmission","0",12,"seed havblå",50,50,73,51,181,188,193.6,179.34,136.5,5.59999999999999,51.5,39.2706872370266,120.214752567694,7,22
"39","2e48",4,"seed grass green","Danish","24","female","Dansk",28308,"2","Naming transmission","0",12,"seed græsgrøn",50,50,67,56,118,107,136.5,117.98,62.4,29.5,44.6,159.287257019438,80.2446923353724,11,11
