"","Subject","Confidence","Color_label_matched","Language","Age","Gender","Language_spoken","rt","Condition","Condition_label","Chain","Generation","Color_label_source","Lightness_source","Lighness_matched","Saturation_source","Saturation_matched","Hue_source","Hue_matched","Unique_hue","Seed","Dif","RHAD","Error_rate_hue","Error_rate_sat"
"1","0sgv",5,"seed dark rose","Danish","23","female","Dansk",86292,"2","Naming transmission","4",8,"seed mørk rosa",50,50,51,55,314,313,372.2,327.55,59.2,132.586786114222,1,4
"2","0sgv",6,"seed grass green","Danish","23","female","Dansk",23625,"2","Naming transmission","4",8,"seed græsgrøn",50,50,68,68,103,100,136.5,117.98,36.5,197.084233261339,3,0
"3","0sgv",5,"seed mustard","Danish","23","female","Dansk",21667,"2","Naming transmission","4",8,"seed sennepsgul",50,50,39,38,69,70,62.4,49.85,-7.6,-60.5577689243028,1,1
"4","0sgv",6,"seed ocean blue","Danish","23","female","Dansk",9257,"2","Naming transmission","4",8,"seed havblå",50,50,57,62,187,187,193.6,179.34,6.59999999999999,46.2833099579243,0,5
"5","0tnl",4,"seed dark rose","Danish","24","female","Dansk",7376,"2","Naming transmission","1",8,"seed mørk rosa",50,50,61,54,325,318,372.2,327.55,54.2,121.388577827548,7,7
"6","0tnl",3,"seed ocean blue","Danish","24","female","Dansk",6915,"2","Naming transmission","1",8,"seed havblå",50,50,65,83,174,178,193.6,179.34,15.6,109.396914446003,4,18
"7","0tnl",4,"seed mustard","Danish","24","female","Dansk",8467,"2","Naming transmission","1",8,"seed sennepsgul",50,50,38,28,49,56,62.4,49.85,6.4,50.996015936255,7,10
"8","0tnl",6,"seed grass green","Danish","24","female","Dansk",3004,"2","Naming transmission","1",8,"seed græsgrøn",50,50,53,56,129,142,136.5,117.98,-5.5,-29.6976241900648,13,3
"9","13ta",4,"seed grass green","English","44","female","German",52531,"2","Naming transmission","0",5,"seed grass green",50,50,53,66,127,138,136.5,117.98,-1.5,-8.09935205183585,11,13
"10","13ta",5,"seed ocean blue","English","44","female","German",31378,"2","Naming transmission","0",5,"seed ocean blue",50,50,77,73,187,186,193.6,179.34,7.59999999999999,53.2959326788219,1,4
"11","13ta",4,"seed dark rose","English","44","female","German",47160,"2","Naming transmission","0",5,"seed dark rose",50,50,56,65,313,309,372.2,327.55,63.2,141.545352743561,4,9
"12","13ta",5,"seed mustard","English","44","female","German",30712,"2","Naming transmission","0",5,"seed mustard",50,50,61,55,46,46,62.4,49.85,16.4,130.677290836653,0,6
"13","1qhd",2,"seed mustard","Danish","50","male","dansk",18576,"2","Naming transmission","2",10,"seed sennepsgul",50,50,66,59,40,37,62.4,49.85,25.4,202.390438247012,3,7
"14","1qhd",2,"seed dark rose","Danish","50","male","dansk",20433,"2","Naming transmission","2",10,"seed mørk rosa",50,50,78,59,312,311,372.2,327.55,61.2,137.066069428891,1,19
"15","1qhd",1,"seed grass green","Danish","50","male","dansk",81038,"2","Naming transmission","2",10,"seed græsgrøn",50,50,70,63,94,129,136.5,117.98,7.5,40.4967602591793,35,7
"16","1qhd",1,"seed ocean blue","Danish","50","male","dansk",17479,"2","Naming transmission","2",10,"seed havblå",50,50,67,82,183,183,193.6,179.34,10.6,74.3338008415147,0,15
"17","1spu",6,"seed grass green","Danish","22","female","Dansk",12029,"1","Pure transmission","3",8,"seed græsgrøn",50,50,53,51,125,127,136.5,117.98,9.5,51.2958963282938,2,2
"18","1spu",5,"seed mustard","Danish","22","female","Dansk",25929,"1","Pure transmission","3",8,"seed sennepsgul",50,50,56,55,53,51,62.4,49.85,11.4,90.8366533864542,2,1
"19","1spu",6,"seed dark rose","Danish","22","female","Dansk",11768,"1","Pure transmission","3",8,"seed mørk rosa",50,50,44,42,319,318,372.2,327.55,54.2,121.388577827548,1,2
"20","1spu",6,"seed ocean blue","Danish","22","female","Dansk",15270,"1","Pure transmission","3",8,"seed havblå",50,50,24,27,182,181,193.6,179.34,12.6,88.35904628331,1,3
"21","1ub2",4,"seed ocean blue","English","53","male","danish",21611,"1","Pure transmission","0",13,"seed ocean blue",50,50,78,66,201,202,193.6,179.34,-8.40000000000001,-58.9060308555401,1,12
"22","1ub2",5,"seed dark rose","English","53","male","danish",13965,"1","Pure transmission","0",13,"seed dark rose",50,50,61,57,302,308,372.2,327.55,64.2,143.784994400896,6,4
"23","1ub2",4,"seed mustard","English","53","male","danish",21348,"1","Pure transmission","0",13,"seed mustard",50,50,66,76,23,25,62.4,49.85,37.4,298.00796812749,2,10
"24","1ub2",5,"seed grass green","English","53","male","danish",7036,"1","Pure transmission","0",13,"seed grass green",50,50,71,67,108,100,136.5,117.98,36.5,197.084233261339,8,4
